날짜,확진자수,사망자수,지역,위도,경도
2020-04-14 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-14 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-14 09:00:00.000,12,0,제주특별자치도,35.958,126.712189
2020-04-14 09:00:00.000,115,0,경상남도,35.498692,128.747406
2020-04-14 09:00:00.000,639,13,경기도,37.26389,127.179108
2020-04-15 09:00:00.000,617,2,서울특별시,37.56667,126.97806
2020-04-15 09:00:00.000,127,3,부산광역시,35.17944,129.07556
2020-04-15 09:00:00.000,6823,155,대구광역시,35.87222,128.6025
2020-04-15 09:00:00.000,88,0,인천광역시,37.45639,126.70528
2020-04-15 09:00:00.000,28,0,광주광역시,35.15972,126.85306
2020-04-15 09:00:00.000,39,0,대전광역시,36.35111,127.385
2020-04-15 09:00:00.000,42,1,울산광역시,35.53889,129.31667
2020-04-15 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-15 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-15 09:00:00.000,51,1,강원도,37.757687,128.873749
2020-04-15 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-15 09:00:00.000,139,0,충청남도,36.476515,127.082977
2020-04-15 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-15 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-15 09:00:00.000,1348,50,경상북도,35.837855,129.173126
2020-04-15 09:00:00.000,115,0,경상남도,35.498692,128.747406
2020-04-15 09:00:00.000,645,13,경기도,37.26389,127.179108
2020-04-16 09:00:00.000,39,0,대전광역시,36.35111,127.385
2020-04-16 09:00:00.000,28,0,광주광역시,35.15972,126.85306
2020-04-16 09:00:00.000,88,0,인천광역시,37.45639,126.70528
2020-04-16 09:00:00.000,42,1,울산광역시,35.53889,129.31667
2020-04-16 09:00:00.000,130,3,부산광역시,35.17944,129.07556
2020-04-16 09:00:00.000,619,2,서울특별시,37.56667,126.97806
2020-04-16 09:00:00.000,6827,158,대구광역시,35.87222,128.6025
2020-04-16 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-16 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-16 09:00:00.000,52,1,강원도,37.757687,128.873749
2020-04-16 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-16 09:00:00.000,139,0,충청남도,36.476515,127.082977
2020-04-16 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-16 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-16 09:00:00.000,1352,50,경상북도,35.837855,129.173126
2020-04-16 09:00:00.000,115,0,경상남도,35.498692,128.747406
2020-04-16 09:00:00.000,649,14,경기도,37.26389,127.179108
2020-04-17 09:00:00.000,42,1,울산광역시,35.53889,129.31667
2020-04-17 09:00:00.000,621,2,서울특별시,37.56667,126.97806
2020-04-17 09:00:00.000,130,3,부산광역시,35.17944,129.07556
2020-04-17 09:00:00.000,6827,159,대구광역시,35.87222,128.6025
2020-04-17 09:00:00.000,89,0,인천광역시,37.45639,126.70528
2020-04-17 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-17 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-17 09:00:00.000,39,0,대전광역시,36.35111,127.385
2020-04-17 09:00:00.000,52,1,강원도,37.757687,128.873749
2020-04-17 09:00:00.000,116,0,경상남도,35.498692,128.747406
2020-04-17 09:00:00.000,1356,50,경상북도,35.837855,129.173126
2020-04-17 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-17 09:00:00.000,650,14,경기도,37.26389,127.179108
2020-04-17 09:00:00.000,139,0,충청남도,36.476515,127.082977
2020-04-17 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-17 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-17 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-18 09:00:00.000,42,1,울산광역시,35.53889,129.31667
2020-04-18 09:00:00.000,622,2,서울특별시,37.56667,126.97806
2020-04-18 09:00:00.000,130,3,부산광역시,35.17944,129.07556
2020-04-18 09:00:00.000,6830,160,대구광역시,35.87222,128.6025
2020-04-18 09:00:00.000,90,0,인천광역시,37.45639,126.70528
2020-04-18 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-18 09:00:00.000,39,0,대전광역시,36.35111,127.385
2020-04-18 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-18 09:00:00.000,654,14,경기도,37.26389,127.179108
2020-04-18 09:00:00.000,53,1,강원도,37.757687,128.873749
2020-04-18 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-18 09:00:00.000,141,0,충청남도,36.476515,127.082977
2020-04-18 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-18 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-18 09:00:00.000,1358,51,경상북도,35.837855,129.173126
2020-04-18 09:00:00.000,116,0,경상남도,35.498692,128.747406
2020-04-18 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-19 09:00:00.000,624,2,서울특별시,37.56667,126.97806
2020-04-19 09:00:00.000,130,3,부산광역시,35.17944,129.07556
2020-04-19 09:00:00.000,6832,161,대구광역시,35.87222,128.6025
2020-04-19 09:00:00.000,91,0,인천광역시,37.45639,126.70528
2020-04-19 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-19 09:00:00.000,39,0,대전광역시,36.35111,127.385
2020-04-19 09:00:00.000,42,1,울산광역시,35.53889,129.31667
2020-04-19 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-19 09:00:00.000,654,14,경기도,37.26389,127.179108
2020-04-19 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-19 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-19 09:00:00.000,141,0,충청남도,36.476515,127.082977
2020-04-19 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-19 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-19 09:00:00.000,1359,51,경상북도,35.837855,129.173126
2020-04-19 09:00:00.000,116,0,경상남도,35.498692,128.747406
2020-04-19 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-20 09:00:00.000,624,2,서울특별시,37.56667,126.97806
2020-04-20 09:00:00.000,132,3,부산광역시,35.17944,129.07556
2020-04-20 09:00:00.000,6833,163,대구광역시,35.87222,128.6025
2020-04-20 09:00:00.000,92,0,인천광역시,37.45639,126.70528
2020-04-20 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-20 09:00:00.000,39,0,대전광역시,36.35111,127.385
2020-04-20 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-04-20 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-20 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-20 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-20 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-20 09:00:00.000,141,0,충청남도,36.476515,127.082977
2020-04-20 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-20 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-20 09:00:00.000,1361,51,경상북도,35.837855,129.173126
2020-04-20 09:00:00.000,116,0,경상남도,35.498692,128.747406
2020-04-20 09:00:00.000,656,14,경기도,37.26389,127.179108
2020-04-21 09:00:00.000,39,0,대전광역시,36.35111,127.385
2020-04-21 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-21 09:00:00.000,92,0,인천광역시,37.45639,126.70528
2020-04-21 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-04-21 09:00:00.000,132,3,부산광역시,35.17944,129.07556
2020-04-21 09:00:00.000,626,2,서울특별시,37.56667,126.97806
2020-04-21 09:00:00.000,6835,164,대구광역시,35.87222,128.6025
2020-04-21 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-21 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-21 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-21 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-21 09:00:00.000,141,0,충청남도,36.476515,127.082977
2020-04-21 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-21 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-21 09:00:00.000,1361,51,경상북도,35.837855,129.173126
2020-04-21 09:00:00.000,116,0,경상남도,35.498692,128.747406
2020-04-21 09:00:00.000,658,14,경기도,37.26389,127.179108
2020-04-22 09:00:00.000,628,2,서울특별시,37.56667,126.97806
2020-04-22 09:00:00.000,134,3,부산광역시,35.17944,129.07556
2020-04-22 09:00:00.000,6836,165,대구광역시,35.87222,128.6025
2020-04-22 09:00:00.000,92,0,인천광역시,37.45639,126.70528
2020-04-22 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-22 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-04-22 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-04-22 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-22 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-22 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-22 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-22 09:00:00.000,141,0,충청남도,36.476515,127.082977
2020-04-22 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-22 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-22 09:00:00.000,1363,51,경상북도,35.837855,129.173126
2020-04-22 09:00:00.000,117,0,경상남도,35.498692,128.747406
2020-04-22 09:00:00.000,658,14,경기도,37.26389,127.179108
2020-04-23 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-04-23 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-23 09:00:00.000,92,0,인천광역시,37.45639,126.70528
2020-04-23 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-04-23 09:00:00.000,135,3,부산광역시,35.17944,129.07556
2020-04-23 09:00:00.000,628,2,서울특별시,37.56667,126.97806
2020-04-23 09:00:00.000,6840,166,대구광역시,35.87222,128.6025
2020-04-23 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-23 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-23 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-23 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-23 09:00:00.000,141,0,충청남도,36.476515,127.082977
2020-04-23 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-23 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-23 09:00:00.000,1363,52,경상북도,35.837855,129.173126
2020-04-23 09:00:00.000,117,0,경상남도,35.498692,128.747406
2020-04-23 09:00:00.000,659,14,경기도,37.26389,127.179108
2020-04-24 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-04-24 09:00:00.000,628,2,서울특별시,37.56667,126.97806
2020-04-24 09:00:00.000,136,3,부산광역시,35.17944,129.07556
2020-04-24 09:00:00.000,6843,166,대구광역시,35.87222,128.6025
2020-04-24 09:00:00.000,92,0,인천광역시,37.45639,126.70528
2020-04-24 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-24 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-04-24 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-24 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-24 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-24 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-24 09:00:00.000,141,0,충청남도,36.476515,127.082977
2020-04-24 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-24 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-24 09:00:00.000,1363,52,경상북도,35.837855,129.173126
2020-04-24 09:00:00.000,117,0,경상남도,35.498692,128.747406
2020-04-24 09:00:00.000,660,14,경기도,37.26389,127.179108
2020-04-25 09:00:00.000,629,2,서울특별시,37.56667,126.97806
2020-04-25 09:00:00.000,136,3,부산광역시,35.17944,129.07556
2020-04-25 09:00:00.000,6845,166,대구광역시,35.87222,128.6025
2020-04-25 09:00:00.000,92,0,인천광역시,37.45639,126.70528
2020-04-25 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-25 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-04-25 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-04-25 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-25 09:00:00.000,662,14,경기도,37.26389,127.179108
2020-04-25 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-25 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-25 09:00:00.000,141,0,충청남도,36.476515,127.082977
2020-04-25 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-25 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-25 09:00:00.000,1364,52,경상북도,35.837855,129.173126
2020-04-25 09:00:00.000,117,0,경상남도,35.498692,128.747406
2020-04-25 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-26 09:00:00.000,629,2,서울특별시,37.56667,126.97806
2020-04-26 09:00:00.000,137,3,부산광역시,35.17944,129.07556
2020-04-26 09:00:00.000,6846,168,대구광역시,35.87222,128.6025
2020-04-26 09:00:00.000,92,0,인천광역시,37.45639,126.70528
2020-04-26 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-26 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-04-26 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-04-26 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-26 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-26 09:00:00.000,117,0,경상남도,35.498692,128.747406
2020-04-26 09:00:00.000,1364,52,경상북도,35.837855,129.173126
2020-04-26 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-26 09:00:00.000,668,14,경기도,37.26389,127.179108
2020-04-26 09:00:00.000,141,0,충청남도,36.476515,127.082977
2020-04-26 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-26 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-26 09:00:00.000,18,0,전라북도,35.95133,126.951141
2020-04-27 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-04-27 09:00:00.000,629,2,서울특별시,37.56667,126.97806
2020-04-27 09:00:00.000,137,3,부산광역시,35.17944,129.07556
2020-04-27 09:00:00.000,6847,169,대구광역시,35.87222,128.6025
2020-04-27 09:00:00.000,92,0,인천광역시,37.45639,126.70528
2020-04-27 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-27 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-04-27 09:00:00.000,671,14,경기도,37.26389,127.179108
2020-04-27 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-27 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-27 09:00:00.000,142,0,충청남도,36.476515,127.082977
2020-04-27 09:00:00.000,18,0,전라북도,35.95133,126.951141
2020-04-27 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-27 09:00:00.000,1364,52,경상북도,35.837855,129.173126
2020-04-27 09:00:00.000,117,0,경상남도,35.498692,128.747406
2020-04-27 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-27 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-28 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-28 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-04-28 09:00:00.000,93,0,인천광역시,37.45639,126.70528
2020-04-28 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-04-28 09:00:00.000,137,3,부산광역시,35.17944,129.07556
2020-04-28 09:00:00.000,633,2,서울특별시,37.56667,126.97806
2020-04-28 09:00:00.000,6849,170,대구광역시,35.87222,128.6025
2020-04-28 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-28 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-28 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-28 09:00:00.000,45,0,충청북도,36.995972,127.926178
