날짜,리뷰
2021-07-20,자잘한 실밥들이 너무 많이 튀어나와 있네요.. 여름에 가볍게 입으려고 샀는데 이런 실밥들은 다 잘라서 입어야 할 듯 하구요. 딱 한 계절 입기 좋은듯. 안에 안감이 있어서 속옷이 비치지 않는 점은 좋습니다. 모양도 예쁘고요. 다만 길이조절을 할 때 많이 줄일 수는 없어서 좀 많이 파여 보이긴 합니다. 그래도 나름 만족.
2021-06-25,"늘어나지 않는 소재라 너무 딱 맞으면 불편할 거 같아 고민했는데 적당히 널널해서 딱 좋아요.
옷이 가슴쪽은 천이 한겹더 덧대어져 있는데 이게 길이가 좀 너무 짧아서 검은색은 괜찮은데 흰색 같은 경우는 어두운 브라 하면 좀 덧대진 천 밑으로 색이 삐져 나와요 ㅠㅠ 그거만 빼면 괜찮습니다~"
2023-05-18,여름에 자켓 안에 입으려고 샀는데 소재도 괜찮고 넉넉해서 입기 편해요. 블루 컬러가 의외로 약간 어두운 편이어서 참고하고 구매하시면 좋을 것 같아요. 여름에 입기 딱이에요~ 화이트는 좀 비칩니다. 흰색 이너 필수~
2021-07-15,"생각보다 크지 않음.
가슴이 좀 끼임.
밝은색은 안에 덧대여진게 비침.
검은색은 누가 반품한걸 보낸건지 실밥도 지저분하고 이물질이 묻어있고 냄새도 남.
1+1이니까 걍 입겠음."
2021-07-12,77인 저한테 속옷을 안입어도 가슴부분이 너무 낑겨서 압박되네요 사이즈는 저의 실수지만 색도 화면이랑 다름 그린보다 민트에 가깝고요 보시다시피 실밥이 빛의 속도로 풀려가는거 막았어요
2021-07-02,다행히 끈 길이가 조절 가능하긴한데 그래도 옆 쪽이 너무 남도록 크긴하네요. 퀄리티가 그렇게 좋지는 않지만 가격을 생각하면 괜찮은 것 같아요.
2022-07-29,"흰색이 아주 새하얀색이 아니긴한데 누렇다는 느낌도 안 들어서 괜찮았어요!
끈 길이 조절 가능해서 적당히 예뻐보이는 길이로 조절할 수 있어서 좋아요.
통이 조금 넓고 겨드랑이 쪽이 좀 넓은 느낌인데 속이 보일 정도는 아니에요. 가성비 좋은 것 같아요!"
2021-08-29,솔직히 마감처리가 좀 부족한 것 같긴 해요.. 어깨끈 부분이랑 여러 부분에 실밥이 자잘하게 튀어나와 있어서 일일이 제거하고 입었ㅠ 그래도 가슴부분에 천이 한 번 더 덧대어져 있어서 밝은 컬러들도 속옷에 큰 제한 없이 입을 수 있어서 좋더라구요ㅎㅎ 저렴하게 구매해서 만족하고 입으려구요!
2021-07-23,자켓이나 셔츠 안에 입을 이너 용도로 구매했어요. 그린색상이 눈으로 보면 그린보다는 민트..에 가까운 색이에요. 회색이 섞인 그린 느낌? 파인거는 많이 부담스럽지 않은 정도라서 잘 입을 것 같아요~
2021-07-07,"구김성없는 원단인데 워낙 얇아서 좀만 구깃하게놔도 주름이 잘 져요ㅠ 탄탄한 느낌은 없고 흐물거리고 끈부분이 좀 격하게(?)움직이면 투둑거리면서 뜯길것같긴한데 가격대비 괜찮습니다 뜯어지면 다른색으로 또 살듯
색 진하다는 말듣고 좀 고민하다 삿는데 화면이랑 동일해요
딱 잡아주는 느낌은 없고 그냥 좀 넉넉한 뷔스티에라고 생각하시면 될듯합니다 살집엄청 잇으신분 아니고서야 낑기는 경우는 없을정도예요(가슴제외) 160/50기준 너비가 주먹두개정도로 넉넉해서 전 더 좋앗습니단 흰색은 아직 안입어봐서 비치는건 모르겠어요"
2021-07-05,"흠... 한 1년 반 정도 살지 말지 고민하다가 그냥 샀는데 일단 유교걸 입장에서는 가슴쪽 파임은 괜찮아요 끈 조절하면 딱히 문제는 없어요 
다만 겨드랑이 암홀 부분이 꽤 커요 유교걸인데 살짝 당황스럽고 제 겨가 그대로 노출돼서 부끄럽네여 ㅎ..
단독으로 입기엔 괜찮아요 저처럼 가슴 없는 분들은 ㄱㅊㄱㅊ 
개인적으로는 하얀색보다는 소라색 잘 입을 거 같네요"
2021-06-29,"디자인과 색상 모두 화면으로 보는 것과 같고, 착용감도 불편함 없이 기본 이너로 입기에 좋을 것 같아요. 
다만, 마감 처리가 제대로 되지 않은 건지 실밥이 군데군데 풀린 것 마냥 묻어있어서 조금 놀랐어요."
2021-06-26,"퀄리티는 가격대비 괜찮아요 끈조절 되어서 좋고 실밥이 좀 있긴 한데 신경 쓸 정도는 아니에요 근데 배송이 너무 늦게왔어요… 이거 하나만 시켰는데 2-3주 걸려서 원하는 날에는 못 입었네요,,ㅠㅠ"
2021-06-20,"저렴하고 괜찮아요 ..! 이쁜 거 같아요
뭔가 허접한 감이 없지않아 있지만 이쁘게 잘 입고 다닐 수 있을 거 같아요 스타일링 잘 하면 !!!! 구김만 신경쓰면 괜찮을 거 같은데 원래 그런 소재라 어쩔 수 없는 거 같아요 추천해용가리"
2021-06-16,"12일(토)에 주문해서 오늘(16일) 받아봤어요
택배 파업중이라 걱정했는데 배송은 대만족입니다
다른 분들 후기보면서 퀄리티에 대한 기대감이 너무 높아졌는지 실물은 조금 실망했었어요ㅠ 가성비는 괜찮지만 딱 그 정도에요
끈조절 안해도 부유방 가려주는 예쁜 핏이라 손은 자주 갈 듯해요
가슴은 C입는데 조이는 느낌 없고 겨드랑이쪽 살짝 떠요 가슴 없는 분은 겨드랑이 부분 좀 많이 뜰 것 같아요
예쁘게 잘 입겠습니다"
2021-06-10,"배송은 오래걸렸지만 옷 상태는 좋아요!
색상 화면과 똑같아용
하체에 비해 상대적으로 상체는 마르지도 뚱뚱하지도 않은 딱 적정인데 생각보다 핏이 딱맞는느낌이 있습니당
상체비만이신분들은 신중하셔야 할 것 같아요!(끈 늘렸는데도 겨드랑이 끼는 느낌)
그치만 옷 자체는 예쁘니 잘 입을게요:)"
2021-06-03,"색상 거의 똑같긴 한데 살짝 더 채도가 없고 명도도 낮은 느낌입니다 큰 차이는 없어요
마감이 좋지 않아서 오자마자 가위로 다듬었습니다
그린색상 끈이 이상하게 구겨져? 꼬여있는데 고데기로 펴보려구요
아무튼 전반적 퀄리티가 가격이 싼만큼 이정도면 괜찮다고 생각합니다 잘 입고 다니겠습니다 
결론 : 만족 ㅎㅎ"
2023-02-27,"기본 나시로 자켓 안에 받쳐 입기 좋을꺼 같아요.
옷 통 자체가 커서 겨드랑이 부분이 벌어지긴 하는데
옷 재질도 좋고 끈 조절이 가능해서 좋아요~"
2021-08-11,상체 마르신 분들은 끈 조절해도 폭이 많이 클 거예요! 저는 세탁소에 맡겨서 줄였습니다! 색은 화면 그대로고 퀄리티도 괜찮아요!
2021-08-04,화이트 블랙 두가지 샀는데 화이트색상은 사자마자 끈조절하는 부분이 아예 부서져있더라구요. 일부러 끈조절되는걸로 산건데.. 퀄리티는 확실히 싼가격값 하는갓 같습니다.
2021-07-15,"실밥이런부분이미흡하긴하지만 가성비굳
처음엔 끈이아예짧게조절되서 통아저씨마냥 등을굽어야머리가들어갓지만 입으면 적당한핏나옴
뱃살안달라붙어서좋아유"
2021-06-21,너무 헐렁할까봐 걱정했는데 실제로 입어보니 생각보다 괜찮은 것 같아요ㅎㅎ 광 없는 블라우스 재질로 여리여리한 느낌을 주는 핏이 만족워요!!
2021-06-16,"일단 어깨끈 조절이 가능해서 좋습니다
통이 크고 흰색은 많이 비치기 때문에 속옷에 신경써야할것같아요~ 옷 군데군데 실밥이 나와있었지만 잘라서 입고있습니다"
2021-06-16,"사이즈는 딱 적당하고 질도 좋은것같아요
색이 사진보다 채도가 더 낮아요 화이트에 민트 한방울 떨어트린느낌이에요 다음에 다른 컬러로 사려고요"
2021-05-29,"그린이 생각보다 민트색이라 놀랐는데 그래도 코디하면 이쁘겠죠^^..? 옷 폭이 좀 넓기도해서 그렇지만 그런대로는 만족할만한 퀄릿히,,"
2023-01-25,화이트랑 옐로우ㅜ샀는데 화이트는 화면이랑 똑같아요 근데 옐로우는 옐로우라기엔 약간 연두빛..?? 녹색이 가미된 옝로우예용 ㅜㅜ 올리브색에 더 가깝다고 생각하세용 근데 저는 둘다 잘 입고다녔어용 ㅎㅎㅎ
2022-10-17,"원플원이라 기대도 안했는데 자켓안에 입으니까 왜케 예쁘던지,,,엄청 잘어울려서 깜짝 놀랐쥬! 가격에 비해 엄청 고퀄은 아니었지만 저는 깔별로 다 구매해서 자켓이랑 매치했더니 잘어울리거라구요!! 이 조합 짱 추천!!"
2021-06-10,"길이조절할수있어서 맘에드는데
옆쪽이 새부리모양으로 떠서
조금 웃겨요 하하
겨드랑이부분이 새부리모양으로 뜹니다
제겨드랑이를 쪼아버리는거처럼 보일까봐
겉에 자켓을 입을수밖에없어요 ^0^..
그래두 길이조절되는건 훌륭해요~~~!"
2023-01-24,배송이 정말 빨랐어요. 스팀꼭 해주셔야 하고 프리사이즈라 넉넉할 줄은 알았지만 옆통이 너무 커서 끈조절을 해도 가디건이나 자켓 없이는 단독으로 입을 수는 없겠어요ㅠㅠ 그래도 가성비 최고라고 생각합니다 ㅎㅎ
2021-09-11,좋아요! 가격대비 가성비 좋아요. 안에 안감이랑 끈조절도 가능해서 맘에 들어요. 2020년에 흰 슬리브 샀다가 2021년엔 검정이랑 진 베이지 샀는데 만족합니다. 슬리브는 드까에서 사세용
2021-07-06,"실밥이 좀 있고 박음질이 약간 아쉬운 부분은 있지만 가격 생각하면 괜찮은 것 같아요! 재질은 적당히 시원해서 여름에 편하게 입을 것 같고, 암홀 크단 얘기가 많아서 걱정했는데 스포츠브라 위에 입으니 크게 신경쓰이지 않았습니다! 다른 색 재구매할까 고민중이에요😆"
2021-06-24,색깔별로 구매했어영ㅋㅋ 끈 살짝 줄여서 입으면 가슴도 안보이고 편하구 좋아여 근데 통이 좀만 더 좁았으면 좋겠어유 ㅎㅎ
2021-06-16,"블랙은 무난하고 베이지가 생각했던거보단 어두워서 어떻게 입어볼까고민이에용
생각보다 더 후들후들하고 다림질하면 바로펴지는데 그만큼 구김도 잘가는거같아요
야들야들 편하게 막입ㄴ을새틴 슬리브나시 잘산거같아옹 ㅎㅎ"
2021-06-01,생각했던 것과 똑같이 생겼어요 옆 부분이 좀 뜨는데 알고 샀던거라 괜찮았구요 연베이지보다 블루가 조금 더 부드러운 느낌이에요
2023-04-23,"정장 안에 입을 찰랑거리는 나시를 찾다가 구매했는데 좋습니다!!! 
어깨끈도 조절되서 좋은거같아요!
저렴한 가격에 잘샀습니당"
2021-08-10,"예쁘고 통이딱 맞는 스타일이 아니여서 좋네요
그리고 어깨끈 조절 할수있어 너무 좋은거같애요^^"
2021-06-02,소재도 야들야들한게 좋은데 아무래도 화이트는 앞에 덧대어있는 천이 보인다는 단점이 있네요ㅠ 그리고 허리가 생각보다 많이 남아요!!
2021-08-24,"블랙이 필요해서 산 건데 블ㄹ랙 산 김에 같이 산 화이트가 더 활용도 높아요 ,,
옆통 부분이 너무 넓어서 클립으로 찝거나 외투랑 같이 입어야 될 듯 해요ㅠ"
2021-06-06,"입었을 때 시원하고 촉감도 좋아요
생각한 것보다 짧은 감이 있는데 위에 남방이나 셔츠 입어주니까 딱 어울려요
찍은 사진보다 살짝 차분한 색감이에요"
2021-07-31,조금 구김이 있어요. c컵인데 편하게 맞아요. 통이 좀 넓어요. 실밥이 쪼금씩 있어요.
2021-07-11,"핏되는 스타일 아니에요.
자켓이나 카디건 안에 이너로 루즈하게 입기 좋습니다.
완전 시원한 재질은 아니에요. 한여름 빼고는 잘 입어질듯합니다.
딱 가격만큼의 퀄리티에요."
2021-06-30,"가슴 큰 분은 사지마세요.
핏이 원통형으로 떨어집니다.
퀄리티는 가성비로 나쁘지않네요."
2021-06-17,재질은 나쁘진 않은데 마감이 쫌 별로에요 ㅜ 그리고 옆 통이 너어어어어무 커서 안에 속옷 입고 입어도 다 보일 것 같아요
2021-06-11,그린색갈시켯는데 소라색이 온거같아요 .. 당황스럽네요 좀기분은 별로였고 끈조절을해도 뭔가 별다를거없는기분 냄새도 심하고 근데 저렴한거 치곤 괜찮네요 잘입겟습니다
2022-09-30,"배송이 너무 늦어요 ㅠㅠ 퀄리티는 좋은편입니다
흰색 검정색 구매했는데 길이 조절도 되고 만족합니다"
2022-07-15,"겉에 비닐이 좀 지저분했지만 옷엔 문제 없었어용
처음에 입어보고 너무 헐렁해서 놀랐는데 끈 조절하니까 괜찮더라구용 저렴한 가격에 잘 구매했어용~~~~"
2021-06-11,"생각보다 통이 큰데 가격대비 잘 산거 같아요
옷에서 공장냄새 나긴 하는데 세탁하고 입으면 괜찮겠죠"
2021-06-07,비슷한 나시를 다른곳에서 산 적 있는데 여기가 더 가성비 있네요. 피부에 닿는 부드러움도 좋고요. 끈 조절할 수 있어서 좋은데 플라스틱이에요. 시스루 티셔츠나 니트 입을 때 같이 입으려고 구매했습니다
2022-07-01,"막 엄청 고퀄템이 아니어도 기본템으로 입으려고 샀는데
입으니까 날씬해보이고 너무 예쁘네요 가슴부분 덧대어져 있어서 안비치고 넘 좋아요"
2021-06-09,"찰랑이는 재질일 줄 알았는데 그건 아니고
버스럭 거리는 재질이에요
끈 조절이 돼서 좋습니다"
2022-09-24,"가슴 좀 있는 분들은..비추입니다. 80C인데 낑겨요
끈조절 되는건 좋긴한데 전체길이가 엄청 짧아요. 바지에 넣입되긴하는데 쭈구려앉으면 뒤에 다 빠짐"
2021-09-02,"세탁하니까 실이 호롤로로롤로
하지만 핏이나 옷의 촉감은 좋아요!
많이 안파여서 좋구요
이너로 입기 저아요"
2021-08-05,"좀 크긴 한데 그래도 딱붙는거보단 날씬해보여서
이 가격에 좋은 퀄리티같아용"
2021-07-14,원단이 생각했던거 보다 좀 싼느낌임. 빳빳한 비닐? 물론 비닐 소리난단건 아니고. 색감이쁘고 받쳐입는용으론 나쁘지 않은듯
2021-06-23,스판은 없는데 일단 여리여리 아주 좋아용 색도 예쁘고 다른 컬러도 마음에 들었으면 샀을 거예요
2021-06-13,새틴이래서 실크느낌일줄알았는데 실크라기보단 부들부들한 레이온면단? 같아요 그래도 저렴해서 한철입기 좋을거같아요
2021-06-06,색감이 화면보다 더 쨍한 느낌인듯 입었을때 착용감이랑 핏은  괜찮았어요 어깨끈으로 길이조절 가능해서 좋아용
2021-06-01,재질이나 사이즈는 딱좋았눈데 생각보다 어둡고 색상이 좀 촌스러웟어요 ㅠㅠ
2021-08-09,"배송은 늦는거 알아서 괜찮았어요
전에 산거랑 재질이 왜 다른지 모르겠지만 약간  서걱서걱하는 재질이에요ㅋㅋ
실도 마무리가 잘 안돼서 정리 할 것도 많았어요"
2021-06-28,75E 인데 꽉 껴서 안들어가네요 .. 가슴 쪽에 덧댄 천 때문에 가로줄 생겨요 ㅜ 사이즈만 아니면 옷은 괜찮은 거 같아요
2021-06-24,찰랑거리고 너무이뻐요ㅠㅠ 색깔도 화면에서 본 그대로구요 안에 이너로 너무 잘입을수있을것같아요 ㅎㅎ
2021-09-02,"핏이 뭐랄까 너무 직사각형 핏이에요 ㅠㅠㅠ
겨드랑이 부분이 많이 뜨네요 ㅠㅠ
그것 말고는 다 괜찮아요 ㅎㅎ"
2021-07-25,끈 고리가 플라스틱이라서 아쉬워요ㅜㅠ 통이 크고 옆으로 뜨는데 통 수선하면 예쁠것 같아요
2021-06-29,"색도 예쁘고 가디건이랑 입으면 완전 예뻐요ㅠㅠ
겨드랑이 부분이 살짝 불편하지만 가성비👍👍"
2021-06-24,"괜찮은 거 같긴 한데 구김이 쉽게 가는 재질인 거 같아 아쉬워요
여름에 가볍게 입기에는 좋은 거 같습니다😍"
2022-06-28,검정 완전 추천이요 입고 벗을 때 끈 길이 조절해줘야해서 귀찮긴한데 그거빼믄 괜찮아요
2022-06-05,블랙이랑 옐로우를 시켰는데 두개가 사이즈가 다르다는 느낌을 받았어요 옐로우가 입었을때 블랙보다 딱 맞아요 가격대비ㅠ나머지는 다 좋았어여
2023-01-14,"캡이 내장되어 있어서 하나만 입어도 되는 건 좋아요
그런데 입고 움직이다 보니까 계속 위로 올라와서 좀 불편했어요
캡 윗부분 면도 좀 말리고 그냥 가격값 하는 것 같아요
옆부분 셔링은 귀엽네요"
2023-06-02,롱버전으로 샀는데도 골반 위로 올라가는 짧은 기장이네요. 그래도 배꼽은 덮어주니까 그냥 입으려고요ㅋㅋ 끈이 엄청 얇은데 생각보다 튼튼해서 잘 안 끊길 것 같아요. 다른 리뷰에 내장캡에 대한 얘기가 많은데 저처럼 가슴없고 살집없는 분들이라면 크게 신경쓰이지 않을 듯 해요. 오히려 캡이 단단해서 빨래할 때 모양이 망가지지 않을 것 같아서 플러스 점수 주고 싶습니다ㅋㅋ가슴 모양도 예쁘게 만들어주고요!ㅋㅋㅋ
2023-05-02,한 번 샀다가 재구매 합니다! 패드가 딱딱한 게 좀 불편하긴 해요..그래도 속옷 착용 안해도 괜찮은 점이 좋아서ㅎㅎ 보풀이 잘일어날 거 같아서 하나 더 구매했어요! 블랙도 하나 더 살라구여
2023-01-16,"여행가려구 급하게 샀는데,, 다행히도 배송이 빨리와서 스케줄에 맞게 잘 사용했어요!! 색깔도 화면 그대로이고 편하게 입기 좋네요 ㅎㅎ
단점은 자꾸 올라가서 캡이 가슴이 아닌 그 위로 올라가요…."
2023-01-16,"여행가려구 급하게 샀는데,, 다행히도 배송이 빨리와서 스케줄에 맞게 잘 사용했어요!! 색깔도 화면 그대로이고 편하게 입기 좋네요 ㅎㅎ
단점은 자꾸 올라가서 캡이 가슴이 아닌 그 위로 올라가요…."
2022-08-29,"만족한다 해야할지... 그닥이라 해야할지.... 애매한 옷 

아이보리의 경우 완전 화이트 개념인데 캡이 내장되어 있다보니 배 쪽이랑 컬러감이 살짝 차이난다 이 부분이 제일 별로인 듯 하다... 

캡도 부드러운 캡이 아니라 딱딱한 캡  ^_ㅠ
그리고 옆 부분의 셔링이 자칫하면 똥똥해 보일 수 있다 

​뭣보다 가슴을 모아주거나 잡아준다는 느낌이 전혀 없다 그치만 들뜸 현상이 전혀 없고 부유방을 싹 가려준다 골이 보일 정도의 파임도 아니고 

흰색이라도 캡이 티가 안 난다는 점이 또 좋음 ... 

이상 만원 대 옷에 너무 많은 기대를 한 제 후기였슴다 🤥

​"
2022-08-07,허리 반정도 오는것 같아요 배꼽은 못가리는 정도…? 저한테는 조금 짧지만 하이웨스트 바지랑 입으면 딱 적당해요! 질은 생각보다 너무너무 좋구 다른 리뷰처럼 캡이 티가 안나서 너무 좋아요ㅎ
2022-09-02,안에 이너로 입을 나시가 필요해서 여기저기 찾다가 젤 괜찮아 보여서 구매했습니다ㅎㅎ 일단 배송은 엄청 빨랐어요! 전체적인 핏은 화면이랑 똑같습니당 처음에 입었을땐 겨드랑이 부분이 살짝 끼는가 했는데 입고 활동하니 괜찮았어요ㅎㅎ
2023-03-02,스퀘어넥이면서 브라패드 안달린 나시 찾고 있었는데 딱 원하던 거예요! 편하게 입을 수 있을 것 같아요 흰색은 너무 비쳐서 겉옷을 열고는 못 입을 것 같긴 합니다 가격대비 만족해욥
2022-05-01,"처음 뜯었을때 솔직히 강아지 옷인줄 알았어요...이게 내 몸뚱이에 들어가겠나 싶었는데 나시라서 당연히 신축성이 좋아서 들어가긴해요 다 좋은데 겨드랑이 부분이 살짝 끼는?느낌이네요 그래도 신경쓰일만큼은 아니라서 잘 입고다니려구요 근데 길이가 막 긴게 아니라서 하이웨스트 바지 아니면 활동하면서 바지에서 빠질것같긴해요
사진은 뜯어보고 당황해서 a4랑 비교샷 찍어둔거에용"
2022-05-08,"가성비가 이렇게 좋아도 되나요..ㅠ
너무 찡기지도 않고 몸에 적당히 핏되면서 편해요
다만 흰색이다보니 잘 비치는 편이라 속옷만 매치 잘해야될 것 같아요"
2023-03-25,"스퀘어넥 골지 나시 부들부들 너무 좋네요
주말인데 배송도 빠르고 괜찮네요
다른컬로도 구매하려고 생각중입니다 맘에들어요"
2022-04-02,둘 다 짱짱하고 가슴골도 다 가려줘서 유교걸로썬 만족 ^_^ 근데 확실히 짱짱해서 .. 그런가 뱃살 조금 튀어나와도 적나라하게 다 보이네여 ..^^ 근데 그건 뭐 어쩔 수 없죠 .. 암튼 좋습니다
2023-03-30,찰랑찰랑하구 부들부들한 소재라 조아요 기본 이너나시 필요해서 샀는데 나쁘지 않은 것 같아용 부유방 커버는 개인적으로 잘 안 됐어요 ㅠ
2022-07-28,"좀 천이 빤닥빤닥한? 골지긴 한데 잘 늘어나고 길이도 딱 좋아요 파이지 않고 일자넥?이라서 좀 걱정했는데 어색하지 않게 예쁜 것 같아요 화이트랑 블랙, 연두 샀는데 나머지 두색보다 연두색이 좀 싼티나긴해요ㅠ그래도 데님 위에 이너로 입기에 괜찮을 듯..?아직 입고 나가진 않았구요 입어보기만 했어요..!"
2022-04-01,"화이트 사입고 괜찮아서 블랙도 주문했어요.
어깨끈이 자꾸 내려가는것 빼곤 괜찮아요. 
자켓에 이너티로 입는데 짧지 않아서 좋고
쫀쫀해서 몸매도 좋아보입니다."
2022-12-04,"후기들과 마찬가지로 면도 부들부들하고 만족하고
무엇보다 1+1에 가성비 좋아서 추천해요.
배송도 하루만에 왔어요ㅎㅎ잘 입을게요~"
2022-05-10,약간 찰랑거리는데 막 얇고 반들반들한 찰랑거림이 아니라서 좋았어요. 만족합니당 화이트도 비침 별로 없어요.
2022-04-25,"이뻐요
아직 세탁은 안했지만 짱짱해요
다만 제가 키도 작고 체구도 작은데도
처음 착용시 겨드랑이가 좀 꼈어요
제가 많이 작은 편인데 저보다 키 큰 분들은
불편하실 수도 있을 거 같아요"
2022-04-07,"앞, 뒤 구분 잘 가있어서 좋았지만
브라가 비쳐요ㅎㅋ...ㅎ 가슴골만 안보이면 되는거지만
브라에 레이스나 무늬, 패턴 박혀져있는건  못입을듯"
2022-03-13,"그냥 무난한 나시에요! 엄청 쫀쫀하지는 않고 찰랑거립니당
많이 입으면 잘 늘어날거같아요
여름에도 안답답하게 입을 수 있을거같아요"
2022-09-08,재질도 너무 좋고 이뻐요 편하게 입고 다니기 좋은거 같아서 가격대비 만족 합니다 추천해용~
2022-07-03,부드러워서 입을 때 느낌은 좋아요! 색은 화면이랑 약간 다르고 클 줄 알았는데 딱 맞아요!!
2022-06-28,"짱짱한데 부드럽고 편해서 좋아요
겨드랑이 쪽이 좀 올라오긴 하는데
단독으로 입지는 않을 거라 괜찮아요"
2022-05-03,기본 나시로 입기 너무 좋아요 흰색이라 그런지 비침은 어쩔수 없지만 만족합니다 검정도 구매 하게요!
2023-03-17,쫀쫀하고 좋아요 근데 금요일날 주문 월요일발송 목요일 저녁에 받았어요 택배 너무 느려요
2022-05-06,흉통이 큰편인데 잘 늘어나서 다행이었어요! 첨에 입을때만 몸통에 잘 장착시켜놓으면 불편하지않고 속옷 안비치게 잘 가려지는 것 같아요:)
2022-08-24,저는 쫀쫀해서 좋은거 같아요 ~ 이너로 입으려구 검정 이랑 하약색 둘다 구매 했어요 !! 엄청 잘입을거같습니다 !!!
2022-06-05,깨끗하고 깔끔한 기본 아이보리 나시라 어디에나 활용 갑 근데 가격이 생각보다 좀 비싸네요
2022-02-03,"첨엔 유아복 온 줄 알았어요,,
그래도 입어보니까 생각보다 잘 늘어나서 들어가긴 하더라구요 
근데 겨드랑이 살이 정말 주체할 수 없어요
물론 제 살의 잘못이지만 암튼 그래요..
나시가 겨살을 가려주긴 하지만 가려주면 머해여,,
옷 위로 살이 툭 튀어나와서 아우터 없이는 절대 못 입을 것 같아요 (살 빼야겠어요..)"
2022-10-11,"좋은데 .. 좋은데 ..!!
저만 겨드랑이 찡기나요? 다들 편하다고만 하셔서ㅜ 전 겨드랑이 쪽이 좀 불편하네요 잉 그거 말곤 진짜 좍좍 늘어나고 너무 편해요"
2022-06-06,"여름에는 나시 꼭 필요해서 몸에 붙는 나시 필요해서 구매해써용
면재질도 너무 부드럽고 너무 파여있지 않아서 좋아용"
2022-10-11,"겨드랑이 부분이 조금ㄲㅣ긴해요...! 그래도 질은 괜찮고, 스퀘어넥이라 안에 받쳐입기 좋어요"
2022-08-13,핏도 이쁘고 길이도 괜찮아서 다른 색 구매할까 했는데 며칠 안입었는데 실밥 풀렸어요 😭
2022-07-02,왜인지는 모르겠는데 같은 사이즈여도 흰색이 검정색보다 좀 큰거 같아요 그리고 배부분이 좀 떠요 그래서 딱붙는 짧은 상의 안에 입으면 세번째 사진처럼 밑부분이 좀 지저분해 보일 수도 있어요 그리고 몇번 빨았더니 패드 밑부분이 사진처럼 쪼글쪼글해지는 점이 아쉬워요🥲그래도 입었을 때 편하고 많이 파이지 않아서 좋아요 그리고 가격에 비해 소재랑 마감은 괜찮은거 같아요
2023-06-01,"리뷰를 엄청 많이 보고 샀는데 사이즈 미스였어요…
상체는 말랐는데 가슴사이즈 때문에 m했는데 너무 헐렁해서 바느질로 줄였어요ㅠ
그래도 저렴한 나시보다 퀄리티는 좋고 편해요
다음엔 s로 사야겠어요ㅠ"
2023-05-29,"검은색보다 흰색이 좀 더 작은 느낌
예전에 샀던 m 보다 좀 작은 느낌
캡모양이며 총기장이며 꽤 만족하면서 입는중이라
사이즈 좀 조절해서 다양한 사이즈로 나오면 좋겠음..
여름에 출근룩 이너로 입기 좋음"
2022-07-09,상품 2개 구입했는데 두 상품 모두 마감처리가 조금 아쉬웠습니다! 소재는 쫀쫀하고 좋아요 근데 착용 하다 보면 캡이 위로 올라가는 느낌이라 조금 불편해요
2023-01-11,"엄...그냥 이름대로 베이직한 크롭 나시인데 저는 부유방 부각 대박이었어요.. 하하... 겨툭튀 때문에 위에 달라붙는 옷 입으면 튀어나온 살 모양대로 라인 생겨서 못 입고 있습니다.. 걸리적 거리기도 하구요
마르신 분들은 괜찮겠죠..?ㅎㅎ 나시 덕분에 다이어트 자극받습니다 🙂"
2022-11-22,사진으로는 부들부들 잘늘어나는 재질인줄 알았는데 생각보다 뻣뻣하고 안늘어나네욥 ㅠ 가슴 크신 분들은 불편할듯 해요!! 한 사이즈 크게 살걸 하고 후회중입니다… 그래도 가디건에 받쳐입기 좋아요
2022-09-04,블랙업 제작 베이직 라인이라 구매했어요 ㅇ같이 사려던 남방이 계속 품절되는 바람에 걍 둘다 취소할까 고민했지만ㅠ암튼 캡내장이라 편하긴한데 그러다보니 잡아주는 느낌은 아니에요 이너로 입기에 적당할거같아요
2022-06-20,"이번이 3번째 구매네요
편하고 퀄 무난하고 기장도 크롭이고....
이너인데 가격이 택배비까지 2만원정도라 비싸게 느껴지긴하는데 ㅠ 이만한게 없어서 자꾸 사게 되네요..
가격만 좀 내려갔으면..."
2022-06-19,천도 얇고 시원해서 여름에 입기도 좋고 잘 안비치는 편이기도 한데 패드가 너무 앞에 있어서 진짜 가슴 하나도 안받쳐 주고 앞만 가리는 느낌이긴 했어요 헐렁한 옷 입을때에는 나쁘지 않을거같은데 조금만 붙는 옷이면 좀 부담스러울거 같아요 그리고 크기가 s도 생각보다 커요
2022-06-10,"원단 자체가 단단하고 질이 좋은게 육안으로 보였어요!
체형에 따라 다르긴 하지만 안쪽 밴딩이 생각보다 헐렁해서 살짝 아쉬웠어요! 대신 답답한 느낌이 없어서 좋았습니다. 가을되면 기본 기장으로 색상별로 구매하고 싶어요:)"
2023-01-10,"다른 이너티들보다 가격이 비싸서 고민했는데, 쭉 입을 생각하고 질렀습니다. 퀄리티는 좋아요. 크롭을 즐겨입는 편이 아니라 크롭이 아니었다면 더 만족했을거 같아요. 만약 크롭 좋아하신다면 완전 추천."
2023-05-25,생각보다 너무 짧고 작아서 당황했어요 ㅋㅋㅋㅋ 그래도 올 여름에 잘 입어보려구요 착용감은 편하고 좋아요 흰색이랑 블랙 두 컬러 맘에 드네요
2023-03-31,"블랙 구매하고 마음에 들어서 화이트 구매했는데
확실히 캡이 블랙보다 조금 보이긴하네요
나머지는 다 좋은데 겨드랑이 쪽이 조금 끼는 느낌이에여ㅎㅎ"
